2025-11-25 11:19:49.958 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2025.18.0-linux-arm64/python-env-tools/bin/pet server
2025-11-25 11:19:49.959 [info] Discovered env: /dolfinx-env/bin/python
2025-11-25 11:19:50.393 [info] Discovered env: /bin/python3
2025-11-25 11:19:50.394 [info] Discovered env: /usr/bin/python3
2025-11-25 11:19:50.394 [info] Locator Conda took 53.424958ms
2025-11-25 11:19:50.394 [info] Locator Homebrew took 1.610375ms
2025-11-25 11:19:50.394 [info] Locator LinuxGlobal took 87.959583ms
2025-11-25 11:19:50.394 [info] Locator PipEnv took 21.625µs
2025-11-25 11:19:50.394 [info] Locator Pixi took 26.125µs
2025-11-25 11:19:50.394 [info] Locator Poetry took 4.949666ms
2025-11-25 11:19:50.394 [info] Locator PyEnv took 16.537375ms
2025-11-25 11:19:50.394 [info] Locator Venv took 17.5µs
2025-11-25 11:19:50.394 [info] Locator VirtualEnv took 5.417µs
2025-11-25 11:19:50.394 [info] Locator VirtualEnvWrapper took 8.5µs
2025-11-25 11:19:50.394 [info] Locator GlobalVirtualEnvs took 38.534875ms
2025-11-25 11:19:50.394 [info] Locator Locators took 97.9275ms
2025-11-25 11:19:50.394 [info] Locator Path took 117.559291ms
2025-11-25 11:19:50.394 [info] Locator Workspaces took 666ns
2025-11-25 11:19:50.394 [info] Refresh completed in 117ms
2025-11-25 11:19:50.428 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:21:07.925 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:21:24.521 [info] Discovered env: /dolfinx-env/bin/python
2025-11-25 11:21:24.524 [info] Discovered env: /usr/bin/python3
2025-11-25 11:21:24.526 [info] Discovered env: /bin/python3
2025-11-25 11:21:24.526 [info] Locator Conda took 24.642333ms
2025-11-25 11:21:24.526 [info] Locator Homebrew took 5.799166ms
2025-11-25 11:21:24.526 [info] Locator LinuxGlobal took 10.449416ms
2025-11-25 11:21:24.526 [info] Locator PipEnv took 24.959µs
2025-11-25 11:21:24.526 [info] Locator Pixi took 514.5µs
2025-11-25 11:21:24.526 [info] Locator Poetry took 9.921417ms
2025-11-25 11:21:24.526 [info] Locator PyEnv took 3.537292ms
2025-11-25 11:21:24.526 [info] Locator Venv took 7.416µs
2025-11-25 11:21:24.526 [info] Locator VirtualEnv took 1.768833ms
2025-11-25 11:21:24.526 [info] Locator VirtualEnvWrapper took 19.75µs
2025-11-25 11:21:24.526 [info] Locator GlobalVirtualEnvs took 20.066792ms
2025-11-25 11:21:24.526 [info] Locator Locators took 29.268541ms
2025-11-25 11:21:24.526 [info] Locator Path took 32.327959ms
2025-11-25 11:21:24.527 [info] Locator Workspaces took 12.441416ms
2025-11-25 11:21:24.527 [info] Refresh completed in 32ms
2025-11-25 11:24:21.636 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:29:55.452 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:33:36.582 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:45:23.132 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:45:57.173 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:46:29.663 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:53:46.265 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:54:17.299 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:54:53.402 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:57:01.742 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 11:58:12.439 [info] Resolved Python Environment /dolfinx-env/bin/python
